"CdTe - RawData"
"Wavelength nm.","T%"
950.00,37.26922
952.00,38.37900
954.00,38.25166
956.00,39.67616
958.00,40.74222
960.00,42.94692
962.00,44.70601
964.00,45.36080
966.00,46.93634
968.00,47.48375
970.00,50.39381
972.00,50.91227
974.00,51.18283
976.00,50.19955
978.00,50.12468
980.00,50.55862
982.00,50.48009
984.00,49.52237
986.00,47.79475
988.00,47.48832
990.00,45.06696
992.00,45.64993
994.00,44.89136
996.00,45.67661
998.00,43.84986
1000.00,42.24891
1002.00,41.37051
1004.00,40.53994
1006.00,40.22163
1008.00,39.93903
1010.00,39.94471
1012.00,40.02675
1014.00,40.21138
1016.00,40.64545
1018.00,41.15010
1020.00,41.79759
1022.00,42.70687
1024.00,43.63908
1026.00,44.77260
1028.00,46.09771
1030.00,47.46998
1032.00,49.02673
1034.00,50.67212
1036.00,52.22892
1038.00,53.91082
1040.00,55.50010
1042.00,57.01062
1044.00,58.54638
1046.00,59.88454
1048.00,60.99585
1050.00,61.97901
1052.00,62.54668
1054.00,62.91159
1056.00,63.05222
1058.00,62.82232
1060.00,62.46281
1062.00,61.85542
1064.00,60.99883
1066.00,60.10795
1068.00,59.03955
1070.00,57.86540
1072.00,56.76209
1074.00,55.56096
1076.00,54.45849
1078.00,53.46875
1080.00,52.47625
1082.00,51.64832
1084.00,50.94348
1086.00,50.28460
1088.00,49.80699
1090.00,49.42926
1092.00,49.11975
1094.00,49.02413
1096.00,49.00046
1098.00,49.10441
1100.00,49.41455
1102.00,49.79981
1104.00,50.32895
1106.00,51.03237
1108.00,51.78735
1110.00,52.72885
1112.00,53.79684
1114.00,54.89267
1116.00,56.11575
1118.00,57.42842
1120.00,58.77395
1122.00,60.27467
1124.00,61.82603
1126.00,63.42351
1128.00,65.09669
1130.00,66.62881
1132.00,68.04298
1134.00,69.38244
1136.00,70.48991
1138.00,71.46547
1140.00,72.25777
1142.00,72.78824
1144.00,73.15416
1146.00,73.30372
1148.00,73.16310
1150.00,72.86035
1152.00,72.27631
1154.00,71.49654
1156.00,70.60136
1158.00,69.49294
1160.00,68.28178
1162.00,67.04511
1164.00,65.71474
1166.00,64.42957
1168.00,63.11472
1170.00,61.77709
1172.00,60.49332
1174.00,59.25113
1176.00,58.03260
1178.00,56.95953
1180.00,55.93578
1182.00,55.02785
1184.00,54.24345
1186.00,53.50555
1188.00,52.86672
1190.00,52.32454
1192.00,51.86339
1194.00,51.54485
1196.00,51.33022
1198.00,51.16885
1200.00,51.14192
1202.00,51.19355
1204.00,51.34356
1206.00,51.61276
1208.00,51.94469
1210.00,52.36702
1212.00,52.92756
1214.00,53.54705
1216.00,54.29372
1218.00,55.13660
1220.00,56.04465
1222.00,57.05345
1224.00,58.12868
1226.00,59.25049
1228.00,60.52591
1230.00,61.87971
1232.00,63.29346
1234.00,64.78073
1236.00,66.24825
1238.00,67.73386
1240.00,69.22731
1242.00,70.65469
1244.00,72.09754
1246.00,73.49754
1248.00,74.81401
1250.00,76.03348
1252.00,77.14579
1254.00,78.03426
1256.00,78.81853
1258.00,79.38309
1260.00,79.81821
1262.00,80.07126
1264.00,80.14822
1266.00,80.03455
